epoch,loss,mse,val_loss,val_mse
0,4.708058834075928,4.708058834075928,1.7592982053756714,1.7592982053756714
1,3.9596009254455566,3.9596009254455566,1.6477261781692505,1.6477261781692505
2,2.9318084716796875,2.9318084716796875,1.623684048652649,1.623684048652649
3,2.86053466796875,2.86053466796875,1.620875358581543,1.620875358581543
4,2.171499252319336,2.171499252319336,1.6492360830307007,1.6492360830307007
5,2.254202365875244,2.254202365875244,1.6749637126922607,1.6749637126922607
6,2.0882253646850586,2.0882253646850586,1.6988111734390259,1.6988111734390259
7,1.9547410011291504,1.9547410011291504,1.7112691402435303,1.7112691402435303
8,2.021059036254883,2.021059036254883,1.7003902196884155,1.7003902196884155
9,2.268305778503418,2.268305778503418,1.6770973205566406,1.6770973205566406
10,1.970360517501831,1.970360517501831,1.6576015949249268,1.6576015949249268
11,1.9756288528442383,1.9756288528442383,1.6407558917999268,1.6407558917999268
12,1.6420164108276367,1.6420164108276367,1.6486473083496094,1.6486473083496094
13,1.8864301443099976,1.8864301443099976,1.665122389793396,1.665122389793396
